Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
139,2005,Houston,"Houston-Sugar Land-Baytown, TX",2456800,2604383,147583,0.056667165,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
140,2005,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2608466,2682823,74357,0.027715954,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
141,2005,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9041289,9499138,457849,0.048199005,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
142,2005,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2778423,2918145,139722,0.047880417,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
143,2005,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2802599,2911759,109160,0.037489366,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
144,2006,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2530045,2663802,133757,0.050212816,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
145,2006,Bay Area,Bay Area,3365608,3515319,149711,0.042588169,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
146,2006,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4554283,4773440,219157,0.045911753,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
147,2006,Dallas,"Dallas-Fort Worth-Arlington, TX",2935858,3085267,149409,0.048426603,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
148,2006,Houston,"Houston-Sugar Land-Baytown, TX",2526751,2661423,134672,0.050601502,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
149,2006,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2705093,2770230,65137,0.02351321,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
150,2006,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9160574,9590832,430258,0.044861384,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
151,2006,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2815087,2951009,135922,0.0460595,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
152,2006,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2870618,2971345,100727,0.033899463,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
